longitudinal_distribution_cr,longitudinal_distribution_er,longitudinal_distribution_mr,longitudinal_distribution_hr,longitudinal_distribution_ep,longitudinal_distribution_mp,longitudinal_distribution_est,longitudinal_distribution_out,transversal_distribution_rich,transversal_distribution_bcsa,transversal_distribution_ppdsa,transversal_distribution_mapb,transversal_distribution_tmpw,transversal_distribution_lake,transversal_distribution_gw,altitude_low,altitude_pie,altitude_alt,substrate_fbcp,substrate_grvl,substrate_sand,substrate_silt,substrate_macp,substrate_micp,substrate_twro,substrate_odli,substrate_mud,current_velocity_null,current_velocity_slow,current_velocity_medium,current_velocity_fast,temperature_psy,temperature_the,temperature_eut,p_h_4,p_h_4_4_5,p_h_4_5_5,p_h_5_5_5,p_h_5_5_6,p_h_6,salinity_frw,salinity_brw,saprobity_x,saprobity_o,saprobity_b,saprobity_a,saprobity_p,trophic_status_oli,trophic_status_meso,trophic_status_eu,food_mior,food_detl1,food_dpg1,food_limi,food_lima,food_dag1,food_lmic,food_lmac,food_vert,feeding_habits_abs,feeding_habits_dpf,feeding_habits_shr,feeding_habits_scr,feeding_habits_fif,feeding_habits_pie,feeding_habits_pre,feeding_habits_par,locomotion_flr,locomotion_ssw,locomotion_wsw,locomotion_crw,locomotion_bur,locomotion_int,locomotion_tat,locomotion_pat,respiration_teg,respiration_gil,respiration_pls,respiration_spi,respiration_ves,resistance_forms_egg,resistance_forms_coc,resistance_forms_hou,resistance_forms_did,resistance_forms_non,maximal_potential_size_0_25_cm,maximal_potential_size_0_25_0_5_cm,maximal_potential_size_0_5_1_cm,maximal_potential_size_1_2_cm,maximal_potential_size_2_4_cm,maximal_potential_size_4_8_cm,maximal_potential_size_8_cm,dispersal_aquatic_passive,dispersal_aquatic_active,dispersal_aerial_passive,dispersal_aerial_active,life_cycle_duration_1_year,life_cycle_duration_1_year_2,potential_number_of_cycles_per_year_1,potential_number_of_cycles_per_year_1_2,potential_number_of_cycles_per_year_1_3,reproduction_ovo,reproduction_fie,reproduction_cie,reproduction_fic,reproduction_frc,reproduction_vec,reproduction_tec,reproduction_ase,aquatic_stages_egg,aquatic_stages_larva,aquatic_stages_nymph,aquatic_stages_adult
0,0.14285714285714285,0,0,0.14285714285714285,0.14285714285714285,0,0.5714285714285714,0,0.125,0.25,0.25,0,0.375,0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,0,0,0,0.36363636363636365,0,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.75,0.25,0,0,0,0,1,0,1,1,2,2,3,0.75,0.25,0,0.2,0.6,0.2,0,0.25,0.75,0,0,0,0,0,0,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.75,0,0,0,0.6666666666666666,0,0,0.3333333333333333,0,0,0,0,0,0.4,0.6,0,0.2,0.2,0,0.6,0.25,0.75,0.75,0.25,0,0,0.25,0,0,0,0.375,0.375,0,0.25,0.75,0,0
0,0,0,0.1,0.3,0.3,0.3,0,0.6,0.2,0.2,0,0,0,0,1,0,0,0.08333333333333333,0.25,0.25,0.16666666666666666,0,0,0,0,0.25,0.6,0.4,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0,0,0,0.5,0.5,0,0,0.6666666666666666,0.3333333333333333,0,0,0,1,0.125,0.375,0,0.25,0,0,0.25,0,0,0,0.3333333333333333,0,0.16666666666666666,0.5,0,0,0,0,0,0.25,0,0.5,0,0.25,0,0.25,0.75,0,0,0,0,0,0,0,1,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0.75,0.25,0,0,1,0,0,0,1,0,0.2,0,0,0.6,0,0,0.2,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
0.18181818181818182,0.36363636363636365,0.2727272727272727,0.09090909090909091,0,0,0,0.09090909090909091,0.5,0.375,0,0,0,0.125,0,0.6,0.2,0.2,0.3333333333333333,0,0,0,0.4444444444444444,0,0,0.2222222222222222,0,0,0.25,0.5,0.25,1,0,0,0,1,2,2,3,3,1,0,0.2,0.6,0.2,0,0,1,0,0,0,0.25,0.5,0.25,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6,0.4,0,0,0,0.2,0,0,0.4,0.4,0,0.25,0.75,0,0,0,0,0.4,0.4,0,0.2,1,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0
0,0,0,0,0.25,0.125,0,0.625,0,0.14285714285714285,0.42857142857142855,0,0.14285714285714285,0.2857142857142857,0,0.75,0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,3,3,0.75,0.25,0,0.2,0.6,0.2,0,1,0,0,0,0,0,0,0,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0,0,0,0,0,0,1,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0,0.25,0.75,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0.25,0,0.75,0.5,0.5,0.25,0.75,0,0,0,0,0,0,0.6,0.4,0,0.4,0.6,0,0
0,0,0.1,0.2,0.2,0.1,0,0.4,0,0.375,0.25,0,0.375,0,0,1,0,0,0.23076923076923078,0.07692307692307693,0,0,0.38461538461538464,0.07692307692307693,0,0,0.23076923076923078,0.75,0.25,0,0,0,0,1,0,0,1,1,1,3,0.6,0.4,0,0.2,0.6,0.2,0,0.6,0.4,0,0,0,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.09090909090909091,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0,0,0.25,0,0.75,0,0,0,0,1,0,0,0,0,0.2,0,0.2,0.6,0,0,0,0.6,0.4,0,0,0,0.6666666666666666,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.75,0,0,0.25
0,0,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0,0.08333333333333333,0,0.25,0.5,0,0,0.25,0,1,0,0,0,0.11764705882352941,0.29411764705882354,0.23529411764705882,0.11764705882352941,0,0,0,0.23529411764705882,0.5,0.5,0,0,0,0,1,0,0,0,0,1,3,0.75,0.25,0,0.2,0.4,0.4,0,0.25,0.5,0.25,0,0,0.21428571428571427,0.21428571428571427,0.14285714285714285,0,0.21428571428571427,0,0.21428571428571427,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0.75,0,0.25,0,0.25,0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5,0.16666666666666666,0.3333333333333333,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
0,0,0,0,0,0,0,1,0,0,0.25,0,0,0.75,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,1,0,0,0,0,0,1,0,0,2,3,3,3,0.6,0.4,0,1,0,0,0,1,0,0,0,0,0,0.25,0.25,0,0.375,0.125,0,0,0,0.3333333333333333,0.16666666666666666,0,0.5,0,0,0.16666666666666666,0,0.8333333333333334,0,0,0,0,0,0.16666666666666666,0,0.3333333333333333,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,1,0,0,1,0,0,0,0.25,0.75,0,0,0,0,0.375,0.375,0,0.25
0,0,0,0,0.2,0.2,0,0.6,0,0.14285714285714285,0.42857142857142855,0,0,0.42857142857142855,0,1,0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6,0.4,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0,0.6,0,0,0.25,0,0,0,0.75,0,0.25,0.75,0,0,0,0,0,0,0,1,0,0,0.75,0.25,0,0,0,0.75,0.25,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.25,0.375,0,0.375
0.16666666666666666,0.16666666666666666,0.1,0.1,0.1,0.1,0.1,0.16666666666666666,0.2608695652173913,0.34782608695652173,0.21739130434782608,0,0.08695652173913043,0.08695652173913043,0,1,0,0,0.037037037037037035,0.14814814814814814,0.037037037037037035,0,0.3333333333333333,0.2222222222222222,0.07407407407407407,0.1111111111111111,0.037037037037037035,0.5,0.4166666666666667,0.08333333333333333,0,0,0,1,1,1,1.5,2,2.5,3,0.6666666666666666,0.3333333333333333,0,0,0.3,0.6,0.1,0.18181818181818182,0.5454545454545454,0.2727272727272727,0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0,0.4,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,1,0,0,0,0.5,0.5,0,0.2857142857142857,0.7142857142857143,1,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
0,0.2777777777777778,0.3333333333333333,0.16666666666666666,0.05555555555555555,0,0,0.16666666666666666,0,0.4375,0.37499999999999994,0,0,0.18749999999999997,0,0.8999999999999999,0.09999999999999999,0,0.46153846153846156,0.07692307692307693,0.07692307692307693,0,0.23076923076923078,0,0.07692307692307693,0,0.07692307692307693,0.13333333333333333,0.33333333333333337,0.4,0.13333333333333333,0.35714285714285715,0.21428571428571427,0.42857142857142855,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8999999999999999,0.09999999999999999,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0,0.8999999999999999,0.09999999999999999,0,0,0,0.19047619047619047,0,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.2857142857142857,0.09523809523809523,0,0.08333333333333333,0.5833333333333334,0,0,0,0.3333333333333333,0,0,0,0.15789473684210528,0.6315789473684211,0.21052631578947367,0,0,0,0,1,0,0,0,0.2,0,0,0.2,0.6000000000000001,0,0,0,0,0,0,1,0,1,0,0,0,1,0.3333333333333333,0.6666666666666666,0,0.5294117647058824,0,0,0.4705882352941177,0,0,0,0,0.3461538461538462,0.3461538461538462,0,0.3076923076923077
